lat,long,date,temp
"""21.420847"," 39.826869""",2023-08-23,42.3
"""21.420847"," 39.826869""",2023-08-24,38
"""21.420847"," 39.826869""",2023-08-25,40
"""21.420847"," 39.826869""",2023-08-26,40.1
"""21.420847"," 39.826869""",2023-08-27,38.1
"""21.420847"," 39.826869""",2023-08-28,40.3
"""21.420847"," 39.826869""",2023-08-29,42.1
"""21.420847"," 39.826869""",2023-08-30,43.1
"""21.420847"," 39.826869""",2023-08-31,39.1
"""21.420847"," 39.826869""",2023-09-01,42.6
"""21.420847"," 39.826869""",2023-09-02,44
"""21.420847"," 39.826869""",2023-09-03,43.6
"""21.420847"," 39.826869""",2023-09-04,44.2
"""21.420847"," 39.826869""",2023-09-05,45.9
"""21.420847"," 39.826869""",2023-09-06,46
"""21.420847"," 39.826869""",2023-09-07,43.1
"""21.420847"," 39.826869""",2023-09-08,41.1
"""21.420847"," 39.826869""",2023-09-09,42
"""21.420847"," 39.826869""",2023-09-10,41.8
"""21.420847"," 39.826869""",2023-09-11,39.8
"""21.420847"," 39.826869""",2023-09-12,40.6
"""21.420847"," 39.826869""",2023-09-13,42
"""21.420847"," 39.826869""",2023-09-14,43
"""21.420847"," 39.826869""",2023-09-15,41.6
"""21.420847"," 39.826869""",2023-09-16,42
"""21.420847"," 39.826869""",2023-09-17,44
"""21.420847"," 39.826869""",2023-09-18,43.3
"""21.420847"," 39.826869""",2023-09-19,44.5
"""21.420847"," 39.826869""",2023-09-20,42.6
"""21.420847"," 39.826869""",2023-09-21,43.3
"""21.420847"," 39.826869""",2023-09-22,43.9
"""21.420847"," 39.826869""",2023-09-23,42
"""21.420847"," 39.826869""",2023-09-24,44.7
"""21.420847"," 39.826869""",2023-09-25,40.1
"""21.420847"," 39.826869""",2023-09-26,39.6
"""21.420847"," 39.826869""",2023-09-27,39
"""21.420847"," 39.826869""",2023-09-28,38.6
"""21.420847"," 39.826869""",2023-09-29,43.5
"""21.420847"," 39.826869""",2023-09-30,43
"""21.420847"," 39.826869""",2023-10-01,40.5
"""21.420847"," 39.826869""",2023-10-02,39.6
"""21.420847"," 39.826869""",2023-10-03,39
"""21.420847"," 39.826869""",2023-10-04,42.1
"""21.420847"," 39.826869""",2023-10-05,43.4
"""21.420847"," 39.826869""",2023-10-06,40
"""21.420847"," 39.826869""",2023-10-07,40.6
"""21.420847"," 39.826869""",2023-10-08,43.3
"""21.420847"," 39.826869""",2023-10-09,42.6
"""21.420847"," 39.826869""",2023-10-10,40.8
"""21.420847"," 39.826869""",2023-10-11,39.6
"""21.420847"," 39.826869""",2023-10-12,40.6
"""21.420847"," 39.826869""",2023-10-13,40.6
"""21.420847"," 39.826869""",2023-10-14,39.8
"""21.420847"," 39.826869""",2023-10-15,37.8
"""21.420847"," 39.826869""",2023-10-16,34
"""21.420847"," 39.826869""",2023-10-17,33
"""24.638916"," 46.7160104""",2023-07-19,45.1
"""24.638916"," 46.7160104""",2023-07-20,46
"""24.638916"," 46.7160104""",2023-07-21,46
"""24.638916"," 46.7160104""",2023-07-22,44
"""24.638916"," 46.7160104""",2023-07-23,44.8
"""24.638916"," 46.7160104""",2023-07-24,44
"""24.638916"," 46.7160104""",2023-07-25,45
"""24.638916"," 46.7160104""",2023-07-26,46
"""24.638916"," 46.7160104""",2023-07-27,45
"""24.638916"," 46.7160104""",2023-07-28,46
"""24.638916"," 46.7160104""",2023-07-29,44
"""24.638916"," 46.7160104""",2023-07-30,45
"""24.638916"," 46.7160104""",2023-07-31,45.1
"""24.638916"," 46.7160104""",2023-08-01,45.1
"""24.638916"," 46.7160104""",2023-08-02,46
"""24.638916"," 46.7160104""",2023-08-03,45.9
"""24.638916"," 46.7160104""",2023-08-04,44
"""24.638916"," 46.7160104""",2023-08-05,44.8
"""24.638916"," 46.7160104""",2023-08-06,44
"""24.638916"," 46.7160104""",2023-08-07,44
"""24.638916"," 46.7160104""",2023-08-08,43.8
"""24.638916"," 46.7160104""",2023-08-09,44
"""24.638916"," 46.7160104""",2023-08-10,44
"""24.638916"," 46.7160104""",2023-08-11,43
"""24.638916"," 46.7160104""",2023-08-12,44
"""24.638916"," 46.7160104""",2023-08-13,44.8
"""24.638916"," 46.7160104""",2023-08-14,44.9
"""24.638916"," 46.7160104""",2023-08-15,45
"""24.638916"," 46.7160104""",2023-08-16,44
"""24.638916"," 46.7160104""",2023-08-17,44
"""24.638916"," 46.7160104""",2023-08-18,43.1
"""24.638916"," 46.7160104""",2023-08-19,44
"""24.638916"," 46.7160104""",2023-08-20,43.1
"""24.638916"," 46.7160104""",2023-08-21,42.8
